,Time,Temperature_Probe1,Temperature_Probe2
536,5.36,-0.4,0.4
537,5.37,0.4,0.4
538,5.38,0.2,0.5
539,5.39,0.2,0.5
540,5.4,0.3,0.4
541,5.41,-0.4,0.3
542,5.42,0.4,0.4
543,5.43,0.2,0.5
544,5.44,0.2,0.4
545,5.45,0.3,0.5
546,5.46,-0.4,0.4
547,5.47,0.4,0.4
548,5.48,0.1,0.5
549,5.49,0.2,0.4
550,5.5,0.4,0.5
551,5.51,-0.3,0.4
552,5.52,0.4,0.4
553,5.53,0.2,0.5
554,5.54,0.2,0.5
555,5.55,0.3,0.4
556,5.56,-0.4,0.3
557,5.57,0.4,0.4
558,5.58,0.2,0.5
559,5.59,0.2,0.4
560,5.6,0.3,0.5
561,5.61,-0.4,0.3
562,5.62,0.4,0.4
563,5.63,0.2,0.5
564,5.64,0.2,0.4
565,5.65,0.3,0.5
566,5.66,-0.4,0.3
567,5.67,0.4,0.4
568,5.68,0.2,0.5
569,5.69,0.2,0.4
570,5.7,0.3,0.5
571,5.71,-0.3,0.3
572,5.72,0.4,0.4
573,5.73,0.2,0.5
574,5.74,0.2,0.4
575,5.75,0.3,0.4
576,5.76,-0.4,0.3
577,5.77,0.4,0.4
578,5.78,0.2,0.5
579,5.79,0.2,0.4
580,5.8,0.3,0.4
581,5.81,-0.4,0.3
582,5.82,0.4,0.4
583,5.83,0.1,0.4
584,5.84,0.2,0.4
585,5.85,0.3,0.5
586,5.86,-0.4,0.3
587,5.87,0.4,0.4
588,5.88,0.1,0.5
589,5.89,0.2,0.4
590,5.9,0.3,0.4
591,5.91,-0.3,0.3
592,5.92,0.3,0.4
593,5.93,0.2,0.5
594,5.94,0.2,0.4
595,5.95,0.3,0.4
596,5.96,-0.4,0.3
597,5.97,0.3,0.4
598,5.98,0.2,0.5
599,5.99,0.2,0.4
600,6.0,0.3,0.4
601,6.01,-0.5,0.3
602,6.02,0.4,0.4
603,6.03,0.2,0.5
604,6.04,0.2,0.4
605,6.05,0.3,0.4
606,6.06,-0.4,0.3
607,6.07,0.4,0.4
608,6.08,0.2,0.5
609,6.09,0.2,0.4
610,6.1,0.3,0.5
611,6.11,-0.4,0.3
612,6.12,0.4,0.4
613,6.13,0.2,0.5
614,6.14,0.2,0.4
615,6.15,0.4,0.4
616,6.16,-0.4,0.3
617,6.17,0.4,0.3
618,6.18,0.2,0.5
619,6.19,0.2,0.4
620,6.2,0.3,0.4
621,6.21,-0.4,0.3
622,6.22,0.4,0.3
623,6.23,0.2,0.5
624,6.24,0.2,0.4
625,6.25,0.3,0.4
626,6.26,-0.3,0.3
627,6.27,0.3,0.3
628,6.28,0.2,0.5
629,6.29,0.3,0.4
630,6.3,0.3,0.4
631,6.31,-0.4,0.3
632,6.32,0.4,0.3
633,6.33,0.2,0.5
634,6.34,0.2,0.4
635,6.35,0.3,0.4
636,6.36,-0.4,0.2
637,6.37,0.5,0.3
638,6.38,0.2,0.5
639,6.39,0.3,0.4
640,6.4,0.3,0.4
641,6.41,-0.4,0.3
642,6.42,0.4,0.3
643,6.43,0.2,0.4
644,6.44,0.2,0.4
645,6.45,0.3,0.4
646,6.46,-0.4,0.3
647,6.47,0.4,0.3
648,6.48,0.2,0.4
649,6.49,0.2,0.4
650,6.5,0.3,0.4
651,6.51,-0.4,0.3
652,6.52,0.4,0.3
653,6.53,0.1,0.4
654,6.54,0.2,0.4
655,6.55,0.3,0.4
656,6.56,-0.4,0.3
657,6.57,0.4,0.4
658,6.58,0.2,0.4
659,6.59,0.2,0.4
660,6.6,0.3,0.4
661,6.61,-0.4,0.3
662,6.62,0.5,0.3
663,6.63,0.2,0.4
664,6.64,0.2,0.4
665,6.65,0.3,0.4
666,6.66,-0.4,0.3
667,6.67,0.5,0.3
668,6.68,0.1,0.4
669,6.69,0.2,0.3
670,6.7,0.3,0.4
671,6.71,-0.4,0.3
672,6.72,0.4,0.3
673,6.73,0.2,0.4
674,6.74,0.2,0.3
675,6.75,0.3,0.4
676,6.76,-0.5,0.3
677,6.77,0.4,0.3
678,6.78,0.2,0.4
679,6.79,0.2,0.4
680,6.8,0.3,0.4
681,6.81,-0.5,0.3
682,6.82,0.4,0.4
683,6.83,0.2,0.4
684,6.84,0.2,0.3
